target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,60000,0,0,,,33.347031963,3.2657534247,,,10.671232877,4
0,2NDFL,elementary,,56245,0,0,,,50.567123288,2.1315068493,,,5.5369863014,10
0,OTHER,elementary,Corporate,119510,0,1,1,1.1155689964,28.191780822,2.0328767123,1,1,8.1095890411,11
0,2NDFL,advanced,,12020,0,0,1,0.3037858423,36.437742346,17.731506849,0,0,9.1235346957,13
0,OTHER,advanced,Corporate,21611,0,1,,,33.333445617,1.711527809,,,7.9726775956,15
0,OTHER,elementary,VIP,146841,0,1,0,30.530913978,36.531072685,0.5776480275,0,0,7.737704918,17
0,OTHER,elementary,,50000,0,0,,,32.120547945,4.7436035631,,,1.5534246575,18
0,OTHER,elementary,Corporate,102915,0,1,2,1.174484767,54.064218879,1.4587394266,0,0,8.8888764129,21
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,23
0,OTHER,advanced,Corporate,14637,2,1,,,43.467213115,1.4868702747,,,10.333445617,32
0,OTHER,elementary,Corporate,102984,0,1,,,34.883928438,6.1195448761,,,1.7579010405,34
0,OTHER,advanced,,55000,0,0,0,4.1489023297,28.068306011,1.7447713152,0,0,8.0601092896,38
0,OTHER,advanced,Corporate,25448,0,1,,,55.428961749,7.6612021858,,,9.922853507,42
0,2NDFL,elementary,,108000,0,0,0,1.1875,34.347945205,0.4401976196,1,1,11.304109589,48
0,OTHER,elementary,Corporate,102207,0,0,1,0.0489023297,34.24109589,8.8737405494,2,2,10.282191781,50
0,2NDFL,elementary,,,0,1,,,25.901369863,1.173291414,,,5.8684931507,53
0,2NDFL,elementary,,51173,0,0,,,45.061269556,2.6054794521,,,0.0164383562,58
0,OTHER,elementary,Corporate,47639,0,1,0,22.800582437,33.739726027,0.2493150685,1,1,10.44109589,60
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,2NDFL,advanced,Corporate,63617,0,1,,,26.008219178,0.4630136986,,,1.4329590538,67
0,OTHER,elementary,Corporate,59332,0,1,0,34,30.050894528,0.5084287746,0,0,9.845415076,73
0,OTHER,elementary,Corporate,221961,0,1,,,39.268493151,6.2465753425,,,10.775342466,98
